Fold,RMSE,SpearmanR,PearsonR
1,0.01516876595384621,0.3292635407093896,0.3901790486579839
2,0.014479835698592186,0.3119383035546238,0.3419377926574956
3,0.014023751282720617,0.29123174388288375,0.32471290671065217
4,0.013727392365852199,0.3034259221039711,0.349796001824562
