Fold,RMSE,SpearmanR,PearsonR
1,0.015451227950344397,0.2714316935795632,0.3359220955650765
2,0.014726495940241148,0.26110781217090506,0.29170799876991543
3,0.014282369664942614,0.2515564609357789,0.27757567751676576
4,0.013973107586993567,0.2670692120849915,0.3036956683194653
