,Fold,RMSE,SpearmanR,PearsonR
0,1,0.0491714533989905,0.7243704183498528,0.7634504148894611
1,2,0.056104389243680566,0.7574717519385503,0.7820066195868411
2,3,0.05783398639218122,0.7595058745843867,0.7809926556354916
3,4,0.05718881149118673,0.7756292292352039,0.7844476137205378
