Fold,RMSE,SpearmanR,PearsonR
1,0.044779578245240835,0.7046697627837585,0.7519187145278654
2,0.051285758504000856,0.7611780970448574,0.7811046142385217
3,0.05238860103067124,0.7621040812679362,0.7817723692087551
4,0.054161350740337136,0.7673432866974592,0.7758749169484899
