,Fold,RMSE,SpearmanR,PearsonR
0,1,0.02601557493983662,0.4040750836036608,0.5800935183019567
1,2,0.02629827702666776,0.43109797593980853,0.5883328203890918
2,3,0.026410987101021598,0.4299068990295353,0.5828996595483633
3,4,0.026564142092027662,0.44019899793777456,0.5846704188515293
