Fold,RMSE,SpearmanR,PearsonR
1,0.02775478153284373,0.4168505961019041,0.4554655289772937
2,0.028162494039937393,0.44041430895376293,0.46315786995695535
3,0.02829695884963244,0.4375652405958325,0.45940318424476406
4,0.02863449790666783,0.44907720764096454,0.458782073908933
