Fold,RMSE,SpearmanR,PearsonR
1,0.026893737244911335,0.42772313070099693,0.609665201774
2,0.027385156519877184,0.4430799636111852,0.6083757474965663
3,0.027246271941422186,0.44675761853479046,0.6109869328891024
4,0.027692689921831843,0.4575794858024004,0.6020256483641462
