,Fold,RMSE,SpearmanR,PearsonR
0,1,0.03317971063193438,0.35062399945229006,0.4822454308961124
1,2,0.029806623745661568,0.3267338971596437,0.43601349883580803
2,3,0.02876233186889715,0.32463928479098103,0.44190289182153086
3,4,0.02948674144190081,0.33034194501861247,0.42646050364657534
