,Fold,RMSE,SpearmanR,PearsonR
0,1,0.03219734613096708,0.34865986661163567,0.48384511531635366
1,2,0.028957454578404936,0.32877375850613144,0.4479074939796185
2,3,0.028406047050949644,0.3267892851138641,0.428173814930508
3,4,0.027252789674399723,0.3340758362571488,0.4320277070499816
