,Fold,RMSE,SpearmanR,PearsonR
0,1,0.032193173110781854,0.3599307889894393,0.4987426414370209
1,2,0.028829925357581748,0.3355278094073296,0.45144100950160454
2,3,0.028148893711981846,0.33830727213666306,0.4538350188211381
3,4,0.027723816997937047,0.34494848452724786,0.45200120323430315
