,Input,RMSE,SpearmanR,PearsonR
0,101,0.014669326401889456,0.30593278410863667,0.35905339046692425
1,201,0.014456601090262141,0.3256755806763642,0.380630673519574
2,501,0.014708227482989816,0.3202339781494575,0.3779856889731877
3,1001,0.015167205458775364,0.3391523526908555,0.3968026458853528
